Название,Значение,Описание
space-3xs,2px,Переменная отступа размера 3xs
space-2xs,4px,Переменная отступа размера 2xs
space-xs,8px,Переменная отступа размера xs
space-s,12px,Переменная отступа размера s
space-m,16px,Переменная отступа размера m
space-l,20px,Переменная отступа размера l
space-xl,24px,Переменная отступа размера xl
space-2xl,32px,Переменная отступа размера 2xl
space-3xl,40px,Переменная отступа размера 3xl
space-4xl,48px,Переменная отступа размера 4xl
space-5xl,72px,Переменная отступа размера 5xl
space-6xl,96px,Переменная отступа размера 6xl
