Назвние,Значение,Описание
,,
screen-xs-min,320px,Переменная минимальной величины экрана в размере xs
screen-xs-max,736px,Переменная максимальной величины экрана в размере xs
screen-s-min,737px,Переменная минимальной величины экрана в размере s
screen-s-max,1023px,Переменная максимальной величины экрана в размере s
screen-m-min,1024px,Переменная минимальной величины экрана в размере m
screen-m-max,1279px,Переменная максимальной величины экрана в размере m
screen-l-min,1280px,Переменная минимальной величины экрана в размере l
screen-l-max,1439px,Переменная максимальной величины экрана в размере l
screen-xl-min,1440px,Переменная минимальной величины экрана в размере xl
screen-xl-max,1599px,Переменная максимальной величины экрана в размере xl
screen-2xl-min,1600px,Переменная минимальной величины экрана в размере 2xl
screen-2xl-max,1920px,Переменная максимальной величины экрана в размере 2xl
