Name,Tags
menu-size-s-spaceVert,Размер вертикального внутреннего отступа у s-menu
menu-size-s-item-spaceVert,Размер вертикального внутреннего отступа в пункте у s-menu
menu-size-s-item-spaceHor,Размер горизонтального внутреннего отступа в пункте у s-menu
menu-size-s-item-icon-indentRight,Размер правого внешненго отступа от иконки до текста у s-menu
menu-size-s-group-spaceVert,Размер вертикального внутреннего отступа от группе у s-menu
menu-size-s-group-spaceHor,Размер горизонтального внутреннего отступа от группе у s-menu
menu-size-s-group-indentBottom,Размер нижего внешнего отступа от группы до пунктов у s-menu
menu-size-s-titleSibling-indentLeft,Размер внешнего левого отступа у сущностей после тайтла у s-menu
menu-size-m-spaceVert,Размер вертикального внутреннего отступа у m-menu
menu-size-m-item-spaceVert,Размер вертикального внутреннего отступа в пункте у m-menu
menu-size-m-item-spaceHor,Размер горизонтального внутреннего отступа в пункте у m-menu
menu-size-m-item-icon-indentRight,Размер правого внешненго отступа от иконки до текста у m-menu
menu-size-m-group-spaceVert,Размер вертикального внутреннего отступа в группе у m-menu
menu-size-m-group-spaceHor,Размер горизонтального внутреннего отступа в группе у m-menu
"menu-size-m-item-indentBottom ",Размер нижего внешнего отступа от пунктов до группы у m-menu
menu-size-m-group-indentBottom,Размер нижего внешнего отступа от группы до пунктов у m-menu
menu-size-m-titleSibling-indentLeft,Размер внешнего левого отступа у сущностей после тайтла у m-menu
